id,star,comment,movie_id,user_id
86,3,テーマソングが頭から離れない。,2,5
87,0,何度も見たくなるような映画だった。,3,5
88,0,映画の世界観に完全に引き込まれた。,4,5
89,1,シリーズ作品の中でも最高の一本だった。,5,5
90,2,演技は素晴らしく、物語は心を打つものだった。,6,5
91,3,アクションシーンが特に印象的だった。,7,5
92,3,重厚なストーリーに心打たれた。,8,5
93,2,ユーモラスな要素が随所に散りばめられていて楽しかった。,9,5
94,3,撮影技術が素晴らしく、見応えがあった。,10,5
95,4,この映画は本当に面白かった、特に演出が素晴らしかった。,11,5
96,0,シーンごとの映像美が素晴らしく、見応えがあった。,12,5
97,2,視覚的にも楽しめる映画だった。,13,5
98,2,繊細な感情描写に心を打たれた。,14,5
99,3,深みのあるキャラクター設定が魅力的だった。,15,5
100,1,クライマックスが特に見ごたえがあった。,16,5
101,2,楽しみにしていた映画だけに、期待を裏切らなかった。,17,5
102,3,映画のテンポがよく、時間を忘れて見入ってしまった。,18,5
103,1,視覚効果が素晴らしく、大いに楽しめた。,19,5
104,4,音楽が非常に印象的で、映画の雰囲気にマッチしていた。,20,5
105,1,音楽が映画の雰囲気にぴったり合っていた。,21,5
